index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
22133,2022-10-31,3,3,3,0,1,0,1,0,3,3,1,3,0,3
22132,2022-10-30,3,3,3,1,0,1,0,3,3,3,0,0,3,3
22131,2022-10-29,3,3,1,3,3,0,1,3,0,3,3,1,3,3
22130,2022-10-28,0,3,3,3,3,0,3,1,0,3,1,3,0,3
22129,2022-10-27,0,3,3,1,3,3,0,0,3,1,1,0,3,0
22128,2022-10-24,0,1,0,3,0,3,3,0,0,0,3,3,1,3
22127,2022-10-23,3,3,1,1,0,3,1,3,0,3,0,3,0,3
22126,2022-10-20,3,3,1,0,3,3,3,0,1,3,3,1,3,0
22125,2022-10-17,1,1,0,0,3,3,3,3,1,1,0,3,3,3
22124,2022-10-16,3,1,3,0,3,1,3,3,0,3,1,0,0,3
22123,2022-10-15,3,0,3,1,1,0,1,0,3,3,0,0,3,1
22122,2022-10-14,1,0,1,0,1,1,3,3,3,3,1,3,3,3
22121,2022-10-13,3,1,0,1,0,1,3,1,0,1,0,0,0,3
22120,2022-10-10,3,3,3,0,3,1,0,1,0,3,3,3,3,3
22119,2022-10-09,3,3,3,3,0,1,3,1,3,1,3,1,1,0
22118,2022-10-08,3,0,1,0,0,1,0,3,0,0,3,3,3,3
22117,2022-10-07,1,0,0,1,0,0,3,3,0,3,3,0,1,0
22116,2022-09-28,0,3,0,0,1,3,0,3,1,0,1,1,3,3
22115,2022-09-26,3,3,3,3,3,0,0,3,1,3,0,3,0,3
22114,2022-09-24,3,0,3,0,1,0,3,3,3,3,1,3,3,0
22113,2022-09-19,3,1,0,3,0,0,1,3,0,1,0,0,1,0
22112,2022-09-18,0,3,1,3,3,3,0,3,3,3,3,3,3,3
22111,2022-09-17,1,3,0,0,0,0,1,3,1,0,0,3,3,1
22110,2022-09-16,3,0,3,3,3,0,3,3,3,3,3,3,0,1
22109,2022-09-15,1,3,3,0,0,0,3,3,0,3,0,1,3,0
22108,2022-09-15,*,*,*,0,1,3,3,1,0,3,3,3,3,3
22107,2022-09-15,*,*,*,*,*,1,0,3,3,3,0,0,0,3
22106,2022-09-15,*,0,0,3,3,3,0,3,1,1,1,3,3,0
22105,2022-09-09,3,1,0,0,0,0,0,3,0,3,3,3,3,0
22104,2022-09-08,3,3,3,0,0,0,1,0,3,3,0,3,3,3
22103,2022-09-05,3,3,0,0,1,3,3,0,3,3,1,1,3,0
22102,2022-09-04,3,3,0,1,3,1,0,0,3,3,0,3,1,0
22101,2022-09-04,1,3,3,3,3,*,3,3,3,3,3,1,3,1
22100,2022-09-01,3,3,1,1,3,0,1,1,3,1,3,0,0,3
22099,2022-08-31,1,3,3,1,3,1,3,0,3,0,3,1,3,3
22098,2022-08-29,1,0,0,1,0,3,0,1,1,3,0,0,0,1
22097,2022-08-28,3,3,3,1,3,0,0,0,1,1,0,1,0,3
22096,2022-08-27,1,3,3,3,0,3,0,3,0,1,3,0,3,3
22095,2022-08-26,1,3,3,1,0,3,1,3,1,0,3,0,1,3
22094,2022-08-22,0,3,1,1,0,1,3,1,1,3,0,0,0,0
22093,2022-08-21,0,3,1,3,0,0,1,0,0,3,1,3,0,0
22092,2022-08-20,3,3,3,0,0,0,1,3,3,3,3,0,3,0
22091,2022-08-19,3,1,3,1,3,0,3,1,3,3,3,0,3,3
22090,2022-08-15,3,1,1,3,3,0,3,0,3,0,0,0,1,1
22089,2022-08-14,1,1,3,1,3,3,1,1,1,0,1,0,1,1
22088,2022-08-13,3,0,0,0,3,1,3,0,3,0,3,0,3,0
22087,2022-08-12,3,0,3,0,3,0,1,3,3,3,1,1,1,3
22086,2022-08-08,0,1,0,1,3,3,3,3,1,0,3,3,3,1
22085,2022-08-07,3,3,3,3,0,0,0,1,3,3,3,0,0,3
22084,2022-08-06,0,3,0,3,1,3,3,1,1,3,3,3,0,0
22083,2022-08-05,0,0,1,3,3,1,3,3,3,3,0,0,3,1
22082,2022-07-31,1,1,3,1,3,3,3,3,1,3,0,3,0,3
22081,2022-07-29,1,3,3,0,0,3,3,3,0,0,0,3,3,1
22080,2022-07-25,3,1,3,3,1,0,0,0,3,3,0,3,3,0
22079,2022-07-22,3,0,1,3,3,1,0,1,0,1,3,1,3,0
22078,2022-07-18,3,3,3,1,0,0,0,3,0,3,3,1,3,3
22077,2022-07-18,0,3,3,0,0,*,3,3,3,3,0,1,1,3
22076,2022-07-18,1,0,1,0,3,1,3,1,1,3,1,*,3,3
22075,2022-07-18,3,0,1,0,*,3,3,3,1,3,0,0,1,3
22074,2022-07-04,0,1,3,3,1,0,3,3,0,3,1,1,3,0
22073,2022-07-04,1,0,1,1,1,0,3,3,3,*,1,3,3,0
22072,2022-06-23,0,3,3,3,3,0,3,3,0,0,3,0,1,3
22071,2022-06-20,3,0,1,0,0,1,1,1,3,0,3,3,0,3
22070,2022-06-16,0,3,3,0,0,3,1,3,0,1,0,0,1,3
22069,2022-06-14,3,1,3,3,1,3,3,3,3,0,1,1,3,0
22068,2022-06-12,0,0,1,1,0,0,3,1,1,1,1,1,3,0
22067,2022-06-10,3,1,3,3,0,3,3,3,3,0,1,0,3,0
22066,2022-06-07,1,1,3,3,0,0,0,0,0,1,1,1,0,1
22065,2022-06-05,3,0,0,0,3,3,1,1,3,3,3,1,1,1
22064,2022-06-03,0,0,3,3,3,1,0,3,1,1,0,0,0,0
22063,2022-05-30,0,0,3,0,3,1,0,3,3,1,0,3,1,0
22062,2022-05-30,3,1,*,0,1,3,1,0,3,0,0,3,0,3
22061,2022-05-23,3,0,3,0,3,3,0,0,0,0,1,0,0,3
22060,2022-05-22,1,3,0,1,3,0,1,1,1,3,3,1,0,0
22059,2022-05-16,1,1,0,1,0,3,0,1,1,1,1,3,3,0
22058,2022-05-15,1,3,3,3,3,0,0,1,0,0,3,1,3,3
22057,2022-05-12,0,3,1,0,1,1,3,1,0,3,3,3,0,3
22056,2022-05-09,0,3,3,1,1,3,0,1,1,3,3,3,0,0
22055,2022-05-08,3,0,1,3,3,1,0,1,1,3,3,0,0,0
22054,2022-05-07,3,3,3,3,3,1,0,1,1,1,0,1,3,0
22053,2022-05-06,1,3,3,1,3,3,3,3,0,0,0,3,3,3
22052,2022-05-02,3,3,0,3,0,0,1,1,3,0,1,3,0,0
22051,2022-05-01,3,0,0,0,0,1,0,3,1,0,0,3,1,3
22050,2022-04-30,0,1,3,0,0,1,3,3,3,0,3,3,0,1
22049,2022-04-29,3,0,3,3,3,0,1,0,1,0,3,0,3,1
22048,2022-04-25,1,3,3,3,0,3,1,3,3,0,0,3,3,0
22047,2022-04-24,1,0,1,3,1,0,1,3,3,1,1,3,0,1
22046,2022-04-24,1,0,*,3,0,1,1,1,0,3,0,0,0,0
22045,2022-04-21,0,1,3,3,1,0,0,3,1,3,0,3,3,3
22044,2022-04-19,0,0,0,3,3,1,0,0,0,1,1,0,3,3
22043,2022-04-18,3,1,3,0,1,3,0,3,0,0,1,1,3,3
22042,2022-04-17,3,3,0,3,0,1,3,0,3,1,1,3,0,0
22041,2022-04-16,1,0,3,3,1,0,0,1,3,1,0,3,1,0
22040,2022-04-15,3,3,1,0,1,1,0,0,3,0,3,3,1,1
22039,2022-04-11,3,3,3,1,0,3,3,0,0,3,1,3,0,0
22038,2022-04-10,0,0,0,0,3,0,3,0,1,3,0,3,1,3
22037,2022-04-09,3,0,3,3,3,0,3,3,3,3,0,3,1,3
22036,2022-04-07,1,0,3,0,3,3,3,0,1,3,3,0,3,3
22035,2022-04-04,3,3,3,0,3,0,0,3,1,1,3,0,3,0
22034,2022-04-03,1,0,0,1,3,1,1,1,0,0,0,3,0,3
22033,2022-03-30,3,3,1,0,3,1,1,3,3,3,3,3,0,3
22032,2022-03-27,3,0,0,0,3,1,1,1,3,3,3,3,3,3
22031,2022-03-25,3,3,0,1,1,3,0,3,1,3,3,3,3,3
22030,2022-03-21,3,3,0,0,1,0,1,1,3,3,0,3,1,0
22029,2022-03-20,0,0,3,3,3,3,1,0,0,0,3,0,3,0
22028,2022-03-20,0,*,3,3,1,1,3,3,0,3,0,1,3,1
22027,2022-03-18,0,0,0,0,1,0,3,0,0,1,3,0,0,3
22026,2022-03-14,3,0,3,3,3,0,3,0,0,1,1,3,3,3
22025,2022-03-13,3,3,3,1,1,3,3,1,0,3,1,0,3,1
22024,2022-03-11,3,0,1,3,0,0,3,3,1,3,3,0,3,0
22023,2022-03-11,0,3,*,0,1,1,0,3,0,0,3,0,1,0
22022,2022-03-06,3,0,3,0,3,1,0,1,3,3,0,3,3,3
22021,2022-03-03,0,0,3,1,0,3,3,3,0,1,1,0,0,3
22020,2022-02-28,3,0,1,3,0,0,3,3,3,3,0,1,1,0
22019,2022-02-27,0,1,1,0,3,1,1,3,0,0,3,1,0,3
22018,2022-02-26,3,3,3,1,1,1,3,0,0,0,3,3,3,3
22017,2022-02-25,3,1,1,1,3,0,0,1,3,0,3,0,3,3
22016,2022-02-21,0,3,3,3,0,1,0,1,0,3,3,1,1,0
22015,2022-02-20,3,0,0,0,3,3,0,0,1,0,1,0,1,3
22014,2022-02-20,*,3,3,1,3,1,*,*,*,*,*,*,*,*
22013,2022-02-18,3,0,1,0,0,1,3,0,3,3,1,3,3,0
22012,2022-02-14,0,3,0,1,0,3,1,3,1,1,3,0,3,1
22011,2022-02-13,1,3,0,0,3,0,3,1,3,3,1,0,1,3
22010,2022-02-11,3,1,0,1,3,0,3,3,0,1,1,3,3,3
22009,2022-01-24,0,1,3,3,0,3,1,0,1,1,0,1,0,3
22008,2022-01-23,0,0,3,1,3,0,3,3,0,3,1,3,1,3
22007,2022-01-23,*,1,0,1,3,3,3,0,0,1,3,1,3,1
22006,2022-01-23,3,0,*,1,1,0,1,3,1,3,3,0,1,0
22005,2022-01-16,3,3,1,0,3,3,0,1,0,0,3,1,3,0
22004,2022-01-16,1,3,1,0,3,3,0,*,3,*,3,0,3,1
22003,2022-01-12,0,3,3,3,3,0,0,0,3,3,3,1,1,0
22002,2022-01-12,3,1,1,1,1,1,3,0,3,3,1,3,*,3
22001,2022-01-12,*,0,1,0,*,1,3,*,1,3,0,3,0,0
21159,2021-12-23,0,0,1,1,3,0,0,3,3,1,0,3,1,1
21158,2021-12-23,*,1,3,3,1,3,3,3,0,3,1,1,3,3
21157,2021-12-20,3,3,1,1,1,3,0,3,3,3,1,0,0,0
21156,2021-12-19,3,1,0,1,0,3,0,0,0,3,0,3,3,3
21155,2021-12-19,*,0,3,0,*,1,3,0,3,0,0,1,3,1
21154,2021-12-13,1,3,3,3,3,3,0,3,0,3,3,1,3,3
21153,2021-12-12,3,3,3,0,3,3,3,1,0,3,1,1,3,0
21152,2021-12-11,3,0,0,1,3,0,0,3,1,3,1,3,1,0
21151,2021-12-10,1,3,3,1,3,3,1,3,1,1,3,3,0,0
21150,2021-12-10,3,3,0,3,3,1,3,1,3,3,3,0,1,0
21149,2021-12-06,1,3,3,3,1,0,1,0,0,3,3,3,1,0
21148,2021-12-05,3,1,0,0,1,3,3,0,3,0,0,0,0,0
21147,2021-12-04,1,3,0,3,3,1,3,3,1,3,0,0,1,0
21146,2021-12-02,1,3,0,1,1,0,0,3,1,0,3,0,1,3
21145,2021-12-02,3,*,3,3,1,3,0,0,0,3,3,3,0,3
21144,2021-11-28,0,3,1,1,3,1,3,0,3,3,0,0,1,0
21143,2021-11-26,3,0,3,3,3,3,1,0,0,3,3,3,3,1
21142,2021-11-25,0,0,1,3,3,3,1,0,3,0,3,0,3,0
21141,2021-11-22,3,3,0,1,0,0,3,0,3,0,0,1,3,1
21140,2021-11-21,3,1,3,3,3,3,3,3,3,0,3,1,3,3
21139,2021-11-17,0,0,1,0,0,0,0,3,1,0,0,3,3,0
21138,2021-11-16,3,3,0,0,3,0,0,1,3,1,3,3,3,3
21137,2021-11-14,0,1,3,3,0,3,0,0,1,3,3,3,3,1
21136,2021-11-12,0,0,1,3,1,0,3,0,1,0,1,3,1,3
21135,2021-11-08,3,1,1,3,1,1,0,3,3,1,1,1,0,0
21134,2021-11-07,0,1,3,1,3,0,3,3,3,3,0,1,3,3
21133,2021-11-06,3,1,0,3,1,0,3,3,3,3,1,0,0,0
21132,2021-11-05,1,3,1,1,0,0,1,1,1,1,0,3,3,3
21131,2021-11-04,3,0,3,0,1,0,3,1,3,3,1,3,0,3
21130,2021-11-01,0,0,3,3,1,0,0,0,1,3,3,1,1,3
21129,2021-10-31,3,1,0,0,0,0,0,3,0,1,3,3,3,1
21128,2021-10-28,3,0,0,1,0,0,3,3,1,3,1,1,1,1
21127,2021-10-25,0,3,0,1,3,3,3,1,1,3,0,3,1,1
21126,2021-10-24,1,0,1,1,0,0,3,3,0,3,3,0,1,3
21125,2021-10-23,3,3,3,3,1,1,1,0,0,0,3,3,1,0
21124,2021-10-21,0,0,3,0,3,0,3,3,3,0,3,0,1,0
21123,2021-10-18,0,0,0,1,0,1,1,3,3,0,0,3,0,3
21122,2021-10-17,0,3,3,1,3,0,3,0,0,1,1,3,3,3
21121,2021-10-13,0,3,1,3,3,3,0,3,3,1,0,3,0,1
21120,2021-10-12,3,3,1,3,3,0,0,0,3,1,0,3,0,3
21119,2021-10-10,1,3,0,0,1,0,0,3,0,3,0,0,0,0
21118,2021-10-08,3,1,0,3,3,3,0,0,1,1,3,3,0,1
21117,2021-10-05,3,1,0,3,0,0,3,1,0,3,0,0,3,0
21116,2021-09-30,1,3,3,0,0,0,3,3,3,3,3,3,1,3
21115,2021-09-27,0,3,1,3,3,0,3,3,3,3,3,3,3,0
21114,2021-09-26,1,1,3,0,1,3,1,3,3,3,1,1,3,1
21113,2021-09-25,3,3,0,3,3,3,1,1,3,3,3,3,0,3
21112,2021-09-24,0,1,0,3,0,1,3,3,3,3,3,0,0,1
21111,2021-09-22,1,0,3,0,0,0,3,3,0,0,3,0,0,0
21110,2021-09-20,3,0,0,0,3,1,0,3,1,1,1,1,0,3
21109,2021-09-19,1,0,3,0,3,1,3,3,1,1,3,0,1,1
21108,2021-09-18,1,3,3,0,0,0,3,1,3,0,3,3,0,3
21107,2021-09-17,3,0,1,3,1,3,0,0,3,3,0,3,3,3
21106,2021-09-15,3,1,0,1,1,1,3,0,3,3,0,1,3,1
21105,2021-09-13,0,1,0,3,0,0,3,3,3,0,0,0,3,3
21104,2021-09-12,0,3,0,1,0,3,3,0,0,1,0,3,0,1
21103,2021-09-08,0,1,0,0,1,1,3,0,3,3,1,3,3,3
21102,2021-09-08,0,3,3,1,1,3,1,3,3,3,*,1,3,1
21101,2021-09-05,0,3,3,0,1,3,0,1,0,3,3,3,0,3
21100,2021-09-03,3,0,3,3,3,1,3,0,0,3,0,1,1,3
21099,2021-08-30,1,3,0,3,3,0,1,3,0,3,0,3,1,0
21098,2021-08-29,0,0,1,1,3,0,0,3,3,3,0,0,1,3
21097,2021-08-28,3,3,0,3,0,3,3,0,1,3,0,3,3,0
21096,2021-08-27,0,3,1,0,0,1,1,0,3,3,0,1,3,3
21095,2021-08-27,1,0,0,1,3,1,3,3,3,3,3,1,3,*
21094,2021-08-22,3,1,1,3,1,0,3,0,3,0,0,1,1,1
21093,2021-08-19,3,0,3,3,3,3,3,3,0,0,3,0,0,0
21092,2021-08-16,0,3,3,3,0,0,3,3,3,1,3,1,1,0
21091,2021-08-15,0,3,3,3,3,0,1,0,1,3,3,3,1,0
21090,2021-08-14,3,1,3,1,3,3,3,3,0,0,0,0,1,3
21089,2021-08-12,3,3,3,3,0,1,3,3,0,0,3,1,1,1
21088,2021-08-12,1,1,0,3,0,3,3,0,1,3,1,*,0,1
21087,2021-08-09,0,0,1,1,1,1,0,0,3,1,0,3,1,3
21086,2021-08-08,0,3,0,0,1,0,1,1,1,0,0,0,1,1
21085,2021-08-03,1,0,1,3,3,1,3,0,0,0,3,0,0,1
21084,2021-08-03,0,3,0,0,3,1,3,3,0,0,*,0,3,1
21083,2021-07-29,0,0,1,0,0,3,1,3,0,3,3,3,3,0
21082,2021-07-27,0,0,1,3,1,0,3,3,3,3,3,0,1,3
21081,2021-07-25,1,1,0,3,1,0,1,3,1,1,0,3,1,3
21080,2021-07-22,0,3,3,3,1,3,1,1,3,3,3,1,1,0
21079,2021-07-19,0,0,3,3,3,1,1,0,3,3,0,0,0,3
21078,2021-07-18,0,0,1,3,1,0,3,0,3,3,1,3,0,0
21077,2021-07-15,0,3,1,3,3,0,0,3,0,0,3,1,3,3
21076,2021-07-12,3,0,0,3,0,3,0,3,0,1,3,1,3,1
21075,2021-07-11,3,0,3,3,3,1,3,1,1,3,1,0,3,0
21074,2021-07-08,3,0,0,0,3,0,1,3,3,3,1,3,3,3
21073,2021-07-05,0,3,1,3,1,1,3,0,3,3,1,3,1,0
21072,2021-07-04,3,0,1,1,0,3,0,0,1,0,0,1,3,1
21071,2021-07-01,3,0,1,3,1,3,1,3,1,1,1,3,0,0
21070,2021-06-28,0,1,3,3,0,3,3,3,0,0,1,0,1,1
21069,2021-06-24,3,0,1,0,0,3,0,3,3,3,1,1,1,3
21068,2021-06-22,3,3,3,0,0,3,3,0,0,0,1,1,0,1
21067,2021-06-20,0,3,0,3,3,3,3,1,1,1,3,1,3,3
21066,2021-06-18,3,0,3,3,3,0,0,3,0,3,3,0,3,1
21065,2021-06-15,1,0,0,3,3,3,0,0,1,0,3,3,3,1
21064,2021-06-10,1,1,3,3,3,3,0,1,1,0,1,3,3,3
21063,2021-06-08,1,3,3,3,3,0,0,3,1,3,3,3,3,0
21062,2021-06-06,0,1,3,3,0,3,1,3,0,3,1,0,0,1
21061,2021-06-04,1,0,3,1,0,3,1,3,3,3,1,1,3,3
21060,2021-05-31,3,3,3,0,0,0,1,3,3,3,3,0,3,3
21059,2021-05-28,3,0,0,1,0,1,3,3,0,0,3,1,3,0
21058,2021-05-24,3,0,3,0,3,3,3,0,0,3,1,1,1,3
21057,2021-05-23,3,3,3,3,0,0,0,1,3,3,0,3,0,0
21056,2021-05-20,1,0,3,3,3,3,0,0,0,0,1,0,3,3
21055,2021-05-17,3,0,0,1,1,0,0,1,0,3,0,3,3,3
21054,2021-05-16,3,1,1,1,0,3,1,3,0,3,3,1,0,3
21053,2021-05-14,1,0,0,3,0,1,0,3,3,1,1,1,3,1
21052,2021-05-13,0,1,3,0,3,1,0,0,3,3,3,3,3,1
21051,2021-05-10,0,0,3,1,1,1,0,0,3,0,3,0,1,1
21050,2021-05-09,0,0,3,3,3,3,1,3,0,1,3,3,1,1
21049,2021-05-06,1,1,0,0,0,3,1,3,3,3,3,3,0,1
21048,2021-05-06,0,*,3,1,1,1,0,3,1,3,0,0,0,0
21047,2021-05-02,0,3,3,0,3,1,0,3,3,0,3,3,3,3
21046,2021-04-26,1,1,3,3,1,3,3,3,0,3,3,3,3,0
21045,2021-04-25,0,3,3,1,3,0,3,3,0,3,1,1,1,0
21044,2021-04-22,3,0,3,3,0,3,1,0,3,0,1,1,3,0
21043,2021-04-22,3,3,*,3,3,3,3,1,3,3,1,1,1,0
21042,2021-04-18,3,3,3,1,3,3,0,3,0,3,3,3,0,3
21041,2021-04-12,3,0,0,3,0,0,3,0,3,0,1,1,3,3
21040,2021-04-11,3,0,1,3,1,0,0,3,0,0,1,0,3,0
21039,2021-04-08,3,3,3,0,1,3,0,3,3,0,0,3,3,1
21038,2021-04-06,1,0,0,3,0,3,3,0,0,0,3,3,3,1
21037,2021-04-05,1,3,3,3,1,1,3,3,0,3,0,1,0,3
21036,2021-04-04,3,0,0,0,3,3,0,3,3,1,3,1,3,3
21035,2021-04-03,3,0,3,1,3,1,3,0,0,0,3,1,1,0
21034,2021-04-01,0,3,0,3,0,3,3,0,1,0,3,0,0,0
21033,2021-03-29,3,3,3,3,3,0,0,3,0,1,3,3,0,3
21032,2021-03-26,0,3,3,1,3,0,0,0,0,1,3,3,3,3
21031,2021-03-22,1,0,3,3,0,0,0,0,3,3,3,0,1,3
21030,2021-03-22,3,3,3,0,1,0,0,3,*,1,0,1,1,3
21029,2021-03-19,3,3,0,0,3,3,0,0,0,3,0,3,1,3
21028,2021-03-15,3,3,3,1,3,3,0,0,3,0,3,0,1,0
21027,2021-03-14,3,3,0,3,3,3,0,1,3,1,1,3,3,1
21026,2021-03-12,3,1,3,0,1,1,3,3,0,3,3,0,3,3
21025,2021-03-08,0,0,3,1,1,1,0,1,3,1,3,3,3,3
21024,2021-03-07,0,1,3,0,3,3,3,3,3,3,0,3,1,0
21023,2021-03-04,1,3,1,1,0,3,0,1,1,3,0,3,0,1
21022,2021-03-01,0,0,0,3,3,3,0,0,3,0,1,1,1,1
21021,2021-02-28,3,0,1,3,3,3,3,3,3,1,0,0,3,0
21020,2021-02-26,0,0,3,3,3,0,3,3,1,3,0,0,1,3
21019,2021-02-22,1,0,3,0,3,1,1,3,3,1,0,1,0,0
21018,2021-02-21,0,3,0,0,0,3,1,1,0,3,0,3,0,3
21017,2021-02-21,0,*,3,3,0,3,3,1,3,0,3,0,0,0
21016,2021-02-07,3,0,3,3,0,1,0,3,3,0,1,3,3,1
21015,2021-02-04,1,1,1,3,3,3,0,0,1,1,3,0,3,1
21014,2021-02-01,3,1,0,0,3,3,0,1,3,3,0,0,3,0
21013,2021-02-01,3,3,3,1,1,3,0,0,3,0,3,1,0,*
21012,2021-01-28,3,1,0,3,1,3,3,1,0,3,0,0,3,3
21011,2021-01-25,0,3,3,3,0,1,3,1,3,3,0,0,3,0
21010,2021-01-24,0,0,3,3,3,0,3,0,1,3,1,3,1,0
21009,2021-01-22,3,0,3,1,1,3,3,3,3,1,1,0,0,1
21008,2021-01-22,3,3,3,1,1,3,*,1,0,3,3,0,1,3
21007,2021-01-17,0,3,0,3,1,1,1,3,1,1,3,0,0,0
21006,2021-01-14,3,1,1,1,3,1,3,3,3,0,0,3,0,3
21005,2021-01-12,0,3,1,3,0,0,3,3,3,3,0,0,3,1
21004,2021-01-12,1,0,3,1,0,0,3,3,3,*,1,3,1,3
21003,2021-01-07,3,1,0,3,3,3,1,0,0,0,1,3,1,3
21002,2021-01-04,3,3,1,0,0,3,3,1,0,0,3,0,1,3
21001,2021-01-03,0,0,3,0,3,0,3,0,3,3,1,0,3,3
20083,2020-12-28,3,0,3,1,3,1,3,0,0,0,1,3,3,3
20082,2020-12-24,0,3,3,1,0,0,1,0,1,3,3,3,3,3
20081,2020-12-21,0,3,0,3,3,1,3,0,3,3,3,0,0,1
20080,2020-12-20,0,1,0,0,0,0,0,1,0,3,1,3,1,0
20079,2020-12-17,0,1,1,3,3,0,1,3,1,1,0,1,0,3
20078,2020-12-14,1,1,3,1,3,3,0,3,0,1,1,0,3,0
20077,2020-12-13,3,1,3,0,1,3,3,1,3,0,0,0,3,3
20076,2020-12-10,0,1,1,0,3,3,0,1,3,0,1,3,3,0
20075,2020-12-10,0,3,0,0,*,1,1,0,0,1,0,1,1,0
20074,2020-12-06,3,0,3,1,1,3,1,0,3,3,0,3,3,0
20073,2020-12-04,0,3,1,3,0,0,1,0,1,3,3,3,1,3
20072,2020-12-03,0,3,0,1,3,1,3,3,0,0,1,3,0,3
20071,2020-11-30,0,3,1,1,3,1,0,0,0,1,3,3,0,3
20070,2020-11-29,0,3,1,1,3,3,0,0,1,0,3,0,1,1
20069,2020-11-27,0,0,3,1,0,0,1,0,0,0,1,3,1,0
20068,2020-11-27,3,0,0,0,0,1,3,1,0,3,*,1,1,3
20067,2020-11-25,0,0,3,3,3,1,3,1,0,0,0,3,1,0
20066,2020-11-23,0,0,3,0,3,3,0,0,3,0,1,0,1,3
20065,2020-11-22,3,0,3,3,1,0,0,1,0,1,3,1,3,3
20064,2020-11-22,3,3,1,0,0,0,3,*,3,3,3,0,1,0
20063,2020-11-22,3,0,3,3,3,3,3,3,3,*,3,1,3,0
20062,2020-11-15,1,3,1,3,3,1,0,3,3,0,0,0,3,0
20061,2020-11-15,*,1,3,3,3,3,3,1,0,3,0,3,1,1
20060,2020-11-09,3,1,3,3,1,0,1,0,1,0,3,1,3,3
20059,2020-11-08,3,3,3,0,3,1,1,0,0,1,3,3,3,3
20058,2020-11-06,3,3,1,0,3,0,3,0,3,3,0,3,0,3
20057,2020-11-05,1,3,3,3,0,3,0,3,0,0,0,3,0,3
20056,2020-11-04,1,0,0,3,3,3,0,0,0,3,1,1,1,3
20055,2020-11-02,0,3,3,0,1,0,0,3,0,1,3,0,1,1
20054,2020-11-01,0,3,0,1,3,3,0,1,3,3,0,1,3,0
20053,2020-10-30,0,3,1,0,3,0,0,1,3,3,3,0,1,0
20052,2020-10-29,0,0,3,3,1,1,0,3,0,3,3,1,1,3
20051,2020-10-28,0,1,3,1,3,0,1,3,3,0,1,3,3,1
20050,2020-10-26,3,1,3,1,0,1,3,1,1,0,3,3,1,3
20049,2020-10-25,1,0,1,3,1,3,3,0,3,0,3,0,0,3
20048,2020-10-23,0,3,0,0,0,0,0,3,0,0,3,1,1,3
20047,2020-10-22,1,0,3,1,3,3,0,0,0,1,0,3,1,1
20046,2020-10-21,0,0,1,1,3,3,0,3,0,1,3,3,1,3
20045,2020-10-19,1,0,1,3,3,3,0,1,0,0,3,1,3,0
20044,2020-10-18,1,0,0,1,0,0,0,1,0,3,1,0,0,3
20043,2020-10-15,3,1,3,3,0,0,0,0,1,0,1,3,1,3
20042,2020-10-12,3,3,3,3,1,1,0,0,3,0,0,1,1,1
20041,2020-10-11,3,0,3,0,1,1,3,0,0,3,1,0,0,1
20040,2020-10-09,1,3,3,0,0,1,3,3,0,3,1,1,1,1
20039,2020-09-28,1,0,3,3,1,3,3,0,1,3,3,3,1,0
20038,2020-09-27,0,1,0,1,3,1,0,0,0,0,0,3,0,1
20037,2020-09-25,1,0,1,0,3,0,0,0,3,3,3,3,3,1
20036,2020-09-24,0,3,3,3,3,0,3,0,3,3,3,3,1,1
20035,2020-09-21,0,0,3,3,1,3,1,3,0,3,1,3,3,1
20034,2020-09-20,3,0,0,1,0,0,3,3,1,3,3,3,3,1
20033,2020-09-18,0,0,0,0,3,0,0,0,0,0,0,0,3,1
20032,2020-09-17,0,0,3,0,3,3,3,1,1,3,3,3,0,3
20031,2020-09-14,0,0,1,1,0,1,3,1,1,3,3,0,0,3
20030,2020-09-13,3,0,3,0,0,0,1,1,0,3,3,3,0,3
20029,2020-09-10,3,3,3,1,3,3,3,0,0,1,0,0,3,1
20028,2020-09-07,3,0,0,3,3,1,1,0,3,0,3,1,3,1
20027,2020-09-04,0,3,1,1,3,0,1,1,3,3,0,1,0,1
20026,2020-08-31,0,3,1,1,1,3,3,3,1,0,0,3,3,3
20025,2020-08-24,3,3,1,0,3,0,3,3,3,3,3,0,3,0
20024,2020-08-20,0,3,1,0,0,0,3,1,3,1,3,3,1,0
20023,2020-08-17,1,0,3,0,1,1,1,3,0,3,0,0,1,3
20022,2020-08-14,0,3,0,3,3,0,3,3,0,3,0,3,1,0
20021,2020-08-10,3,3,0,0,1,0,3,0,1,1,3,0,0,3
20020,2020-08-07,3,3,3,3,3,3,3,3,1,3,0,0,3,0
20019,2020-08-03,3,0,1,1,0,1,3,0,3,3,3,3,0,3
20018,2020-07-30,0,3,0,0,3,0,3,3,3,3,0,1,3,3
20017,2020-07-27,0,3,1,0,0,0,3,0,3,3,3,0,0,3
20016,2020-07-23,3,3,1,1,0,0,1,3,3,0,3,1,1,0
20015,2020-07-20,3,0,0,1,3,3,1,0,3,1,1,0,3,3
20014,2020-07-17,1,3,0,1,3,0,1,1,3,3,3,0,1,3
20013,2020-07-13,3,0,3,3,3,0,1,0,1,1,0,3,0,3
20012,2020-07-09,0,3,3,0,3,3,0,3,3,3,0,3,3,1
20011,2020-07-06,3,3,3,3,3,0,3,0,0,1,3,0,0,0
20010,2020-07-02,0,0,3,3,0,0,3,0,3,0,3,1,0,0
20009,2020-06-29,0,3,0,3,0,3,3,0,0,0,1,3,3,0
